week_start,pixel_event,event_match_quality,events_received
2026-04-21,Purchase,7.6,898
2026-04-21,InitiateCheckout,7.2,2682
2026-04-21,AddToCart,6.8,5609
2026-04-21,ViewContent,6.6,65766
2026-04-28,Purchase,7.9,894
2026-04-28,InitiateCheckout,7.3,2430
2026-04-28,AddToCart,6.9,5010
2026-04-28,ViewContent,6.5,63213
2026-05-05,Purchase,7.8,1002
2026-05-05,InitiateCheckout,7.1,2494
2026-05-05,AddToCart,7.0,5025
2026-05-05,ViewContent,6.4,55399
2026-05-12,Purchase,7.7,859
2026-05-12,InitiateCheckout,7.2,2851
2026-05-12,AddToCart,7.0,5293
2026-05-12,ViewContent,6.3,58010
2026-05-19,Purchase,7.7,951
2026-05-19,InitiateCheckout,7.2,2574
2026-05-19,AddToCart,7.0,5011
2026-05-19,ViewContent,6.7,59537
2026-05-26,Purchase,7.7,862
2026-05-26,InitiateCheckout,7.3,2390
2026-05-26,AddToCart,6.7,4741
2026-05-26,ViewContent,6.4,65244
2026-06-02,Purchase,7.9,1003
2026-06-02,InitiateCheckout,7.5,2716
2026-06-02,AddToCart,6.8,5604
2026-06-02,ViewContent,6.7,63884
2026-06-09,Purchase,8.0,960
2026-06-09,InitiateCheckout,7.1,2383
2026-06-09,AddToCart,6.8,4775
2026-06-09,ViewContent,6.4,55190
2026-06-16,Purchase,5.5,893
2026-06-16,InitiateCheckout,5.1,2119
2026-06-16,AddToCart,5.0,4293
2026-06-16,ViewContent,6.2,62640
2026-06-23,Purchase,5.4,818
2026-06-23,InitiateCheckout,5.1,2315
2026-06-23,AddToCart,5.1,4835
2026-06-23,ViewContent,6.2,63960
2026-06-30,Purchase,5.4,876
2026-06-30,InitiateCheckout,5.1,2213
2026-06-30,AddToCart,5.1,4046
2026-06-30,ViewContent,6.3,60163
2026-07-07,Purchase,5.6,872
2026-07-07,InitiateCheckout,5.3,2457
2026-07-07,AddToCart,5.0,4801
2026-07-07,ViewContent,6.3,56192
2026-07-14,Purchase,5.4,798
2026-07-14,InitiateCheckout,5.3,2107
2026-07-14,AddToCart,4.8,4629
2026-07-14,ViewContent,6.4,60862
