date,campaign_name,campaign_type,spend,impressions,clicks,conversions,conversion_value,new_customer_conversions,new_customer_value,search_impression_share
2026-04-21,Brand Search | Adapt Naturals + Kresser,Brand Search,324.75,4066,324,42,3546.78,23,2116.0,0.92
2026-04-21,Non-Brand Search | Supplements + Conditions,Non-Brand Search,229.14,3980,163,2,181.3,2,184.0,0.325
2026-04-21,Shopping | Standard | All Products,Shopping,206.49,2142,100,2,179.4,2,184.0,
2026-04-22,Brand Search | Adapt Naturals + Kresser,Brand Search,296.05,9249,473,49,3647.57,27,2484.0,0.921
2026-04-22,Non-Brand Search | Supplements + Conditions,Non-Brand Search,282.96,4384,215,2,189.24,2,184.0,0.353
2026-04-22,Shopping | Standard | All Products,Shopping,190.99,2391,87,2,172.55,2,184.0,
2026-04-23,Brand Search | Adapt Naturals + Kresser,Brand Search,332.37,19809,598,39,3154.94,21,1932.0,0.921
2026-04-23,Non-Brand Search | Supplements + Conditions,Non-Brand Search,227.1,2765,103,2,186.75,2,184.0,0.382
2026-04-23,Shopping | Standard | All Products,Shopping,207.66,2365,164,2,181.9,2,184.0,
2026-04-24,Brand Search | Adapt Naturals + Kresser,Brand Search,324.1,6477,298,38,2895.5,21,1932.0,0.922
2026-04-24,Non-Brand Search | Supplements + Conditions,Non-Brand Search,259.38,4286,233,2,184.71,2,184.0,0.338
2026-04-24,Shopping | Standard | All Products,Shopping,198.91,1107,87,2,175.44,2,184.0,
2026-04-25,Brand Search | Adapt Naturals + Kresser,Brand Search,266.77,6591,313,28,2323.48,15,1380.0,0.922
2026-04-25,Non-Brand Search | Supplements + Conditions,Non-Brand Search,235.45,2304,134,1,95.9,1,92.0,0.362
2026-04-25,Shopping | Standard | All Products,Shopping,217.07,3084,115,2,191.32,2,184.0,
2026-04-26,Brand Search | Adapt Naturals + Kresser,Brand Search,319.04,5483,357,39,3178.28,21,1932.0,0.923
2026-04-26,Non-Brand Search | Supplements + Conditions,Non-Brand Search,253.22,2530,136,2,192.11,2,184.0,0.355
2026-04-26,Shopping | Standard | All Products,Shopping,206.58,1980,153,2,172.19,2,184.0,
2026-04-27,Brand Search | Adapt Naturals + Kresser,Brand Search,304.69,4189,302,35,2674.67,19,1748.0,0.923
2026-04-27,Non-Brand Search | Supplements + Conditions,Non-Brand Search,235.76,2896,195,2,195.99,2,184.0,0.372
2026-04-27,Shopping | Standard | All Products,Shopping,181.9,1246,83,2,187.63,2,184.0,
2026-04-28,Brand Search | Adapt Naturals + Kresser,Brand Search,327.25,11361,408,40,3350.6,22,2024.0,0.924
2026-04-28,Non-Brand Search | Supplements + Conditions,Non-Brand Search,259.04,2256,137,2,189.89,2,184.0,0.357
2026-04-28,Shopping | Standard | All Products,Shopping,186.71,1170,86,2,174.98,2,184.0,
