date,campaign_name,ad_set_name,ad_id,ad_name,spend,impressions,clicks,frequency_7d,purchases,purchase_value,new_customer_purchases,new_customer_value
2026-04-21,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,693.24,20689,223,1.99,12,1155.66,11,1090.54
2026-04-21,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,673.35,18110,174,1.88,12,1119.39,11,1048.64
2026-04-21,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,984.78,32208,426,1.9,22,1868.53,20,1738.64
2026-04-21,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,729.5,20296,213,1.75,14,1300.96,13,1234.0
2026-04-21,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,246.74,8484,66,1.61,3,269.6,3,269.6
2026-04-21,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,300.4,9006,90,1.95,3,274.9,3,274.9
2026-04-21,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,154.48,3906,30,1.66,1,90.28,1,90.28
2026-04-21,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,196.66,5889,56,1.96,2,180.91,2,180.91
2026-04-21,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,236.95,7866,142,1.89,10,750.36,3,268.79
2026-04-21,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,152.84,4269,69,1.89,6,477.17,2,186.04
2026-04-21,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-203,Video | Reviews Social Proof | All Products,122.33,4183,61,1.67,3,221.2,1,87.83
2026-04-21,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-101,TEST | Hook: 'Doctor said WHAT',217.96,5517,50,1.61,3,287.81,3,287.81
2026-04-21,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-102,TEST | Static: Label Closeup,261.55,7502,46,2.07,4,353.34,4,353.34
2026-04-22,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,715.93,18473,209,2.01,11,912.47,10,846.1
2026-04-22,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,576.74,15493,162,1.96,9,758.46,8,693.66
2026-04-22,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,888.19,23399,343,1.9,21,1969.99,19,1831.35
2026-04-22,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,643.52,16402,188,1.73,11,929.1,10,865.31
2026-04-22,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,290.2,7494,67,2.05,4,372.06,4,372.06
2026-04-22,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,310.47,8399,87,1.65,3,257.75,3,257.75
2026-04-22,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,195.72,6491,56,1.68,1,87.97,1,87.97
2026-04-22,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,192.74,6483,65,1.85,2,184.84,2,184.84
2026-04-22,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,225.88,6458,124,1.95,10,734.39,3,288.93
2026-04-22,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,151.54,3872,66,1.66,3,236.44,1,96.73
2026-04-22,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-203,Video | Reviews Social Proof | All Products,126.18,3227,52,1.74,3,221.64,1,92.82
2026-04-22,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-101,TEST | Hook: 'Doctor said WHAT',230.39,6554,60,2.08,3,256.53,3,256.53
2026-04-22,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-102,TEST | Static: Label Closeup,232.01,6113,43,1.65,3,273.76,3,273.76
2026-04-23,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,679.36,17687,175,1.93,18,1508.97,16,1380.23
2026-04-23,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,675.27,23447,214,1.65,11,1067.79,10,1003.06
2026-04-23,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,928.94,30978,402,1.9,26,2177.01,23,1975.42
2026-04-23,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,642.02,22416,258,1.69,14,1274.54,13,1205.33
2026-04-23,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,253.94,8903,77,2.03,4,398.12,4,398.12
2026-04-23,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,265.44,7742,70,1.79,4,372.87,4,372.87
2026-04-23,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,147.24,3791,25,2.02,1,93.22,1,93.22
2026-04-23,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,192.94,5603,55,1.67,2,161.84,2,161.84
2026-04-23,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,268.06,7946,172,1.67,13,979.84,4,340.83
2026-04-23,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,170.0,4692,81,1.79,6,486.05,2,189.44
2026-04-23,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-203,Video | Reviews Social Proof | All Products,143.82,3766,64,1.87,6,454.2,2,181.29
2026-04-23,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-101,TEST | Hook: 'Doctor said WHAT',233.56,6427,63,1.7,4,382.08,4,382.08
2026-04-23,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-102,TEST | Static: Label Closeup,228.77,7715,52,2.07,3,297.66,3,297.66
2026-04-24,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,666.16,18989,204,1.73,13,1239.75,12,1169.65
2026-04-24,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,481.15,12945,128,1.86,10,812.86,9,746.84
2026-04-24,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,984.62,33891,474,1.9,31,2715.97,28,2503.5
2026-04-24,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,708.21,19063,215,2.05,12,1072.04,11,1004.56
2026-04-24,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,280.58,8606,87,1.82,3,264.88,3,264.88
2026-04-24,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,307.91,7728,85,1.79,4,378.34,4,378.34
2026-04-24,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,169.87,4845,34,1.66,2,196.45,2,196.45
2026-04-24,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,182.26,5472,56,1.83,2,186.56,2,186.56
2026-04-24,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,228.76,6013,135,1.74,10,768.18,3,286.69
2026-04-24,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,158.42,5331,97,1.72,6,459.59,2,180.41
2026-04-24,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-203,Video | Reviews Social Proof | All Products,111.49,3895,52,1.6,3,206.45,1,85.43
2026-04-24,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-101,TEST | Hook: 'Doctor said WHAT',229.38,6155,69,2.06,4,366.73,4,366.73
2026-04-24,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-102,TEST | Static: Label Closeup,217.63,7287,48,2.03,3,271.1,3,271.1
2026-04-25,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,748.99,21160,255,1.63,12,994.7,11,923.47
2026-04-25,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,637.63,16036,142,1.69,10,889.33,9,820.2
2026-04-25,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,1119.47,35408,412,1.9,31,2749.35,28,2533.66
2026-04-25,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,776.35,23634,315,1.85,18,1614.21,16,1477.12
2026-04-25,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,252.35,7085,64,1.91,2,169.94,2,169.94
2026-04-25,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,274.36,8308,102,1.62,3,263.04,3,263.04
2026-04-25,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,174.24,4863,38,1.92,1,97.03,1,97.03
2026-04-25,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,210.11,6152,69,1.78,2,189.42,2,189.42
2026-04-25,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,245.72,6458,144,1.76,10,750.34,3,281.1
2026-04-25,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,180.8,5691,85,1.69,6,418.98,2,166.57
2026-04-25,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-203,Video | Reviews Social Proof | All Products,145.84,4141,58,1.68,3,243.03,1,89.53
2026-04-25,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-101,TEST | Hook: 'Doctor said WHAT',220.84,6056,59,1.94,3,274.81,3,274.81
2026-04-25,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-102,TEST | Static: Label Closeup,237.4,7915,66,1.68,4,350.58,4,350.58
2026-04-26,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,806.24,24647,327,1.82,13,1191.88,12,1118.35
2026-04-26,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,636.25,16362,162,1.69,7,636.07,6,569.88
2026-04-26,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,1166.63,40215,458,1.9,24,2184.01,22,2049.22
2026-04-26,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,722.02,25159,250,1.98,13,1210.51,12,1141.19
2026-04-26,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,268.0,7869,67,2.03,2,174.74,2,174.74
2026-04-26,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,270.84,6943,71,1.8,2,192.47,2,192.47
2026-04-26,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,172.27,5160,39,2.06,1,91.69,1,91.69
2026-04-26,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,189.42,4761,53,1.92,2,181.69,2,181.69
2026-04-26,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,210.49,5481,123,1.99,10,716.71,3,260.23
2026-04-26,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,156.85,3939,72,2.08,6,424.53,2,169.41
2026-04-26,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-203,Video | Reviews Social Proof | All Products,111.6,2802,47,1.84,3,226.53,1,94.4
2026-04-26,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-101,TEST | Hook: 'Doctor said WHAT',230.99,5908,64,2.0,3,253.69,3,253.69
2026-04-26,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-102,TEST | Static: Label Closeup,223.59,6115,48,1.94,3,258.86,3,258.86
2026-04-27,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,730.99,19087,220,1.91,14,1229.13,13,1159.51
2026-04-27,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,588.57,16322,139,2.05,7,675.54,6,598.3
2026-04-27,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,966.29,29493,386,1.9,26,2211.42,23,2001.42
2026-04-27,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,720.63,19120,258,1.96,14,1243.52,13,1176.0
2026-04-27,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,228.68,5866,62,1.8,2,200.0,2,200.0
2026-04-27,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,305.86,9146,94,1.61,4,362.09,4,362.09
2026-04-27,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,174.85,5565,41,1.87,1,84.86,1,84.86
2026-04-27,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,195.91,5583,56,1.97,2,172.28,2,172.28
2026-04-27,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,332.88,8875,183,1.88,17,1343.3,5,474.6
2026-04-27,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,175.91,4530,78,2.01,6,484.58,2,191.42
2026-04-27,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-203,Video | Reviews Social Proof | All Products,132.6,3882,62,2.08,3,212.69,1,82.2
2026-04-27,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-101,TEST | Hook: 'Doctor said WHAT',178.31,5328,52,1.63,3,272.64,3,272.64
2026-04-27,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-102,TEST | Static: Label Closeup,213.71,5874,41,1.63,4,363.95,4,363.95
2026-04-28,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,800.97,28590,321,2.03,12,1006.27,11,935.9
2026-04-28,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,589.02,18924,201,2.02,7,577.13,6,512.2
2026-04-28,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,1106.49,28252,340,1.9,26,2368.51,23,2163.91
2026-04-28,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,712.1,18246,203,1.67,16,1466.45,14,1341.03
2026-04-28,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,239.65,6831,49,1.88,3,289.15,3,289.15
2026-04-28,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,256.14,6693,68,1.99,3,262.34,3,262.34
2026-04-28,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,170.1,4505,36,1.78,2,188.12,2,188.12
2026-04-28,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,181.01,6255,63,1.76,1,92.39,1,92.39
2026-04-28,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,288.17,9060,195,1.97,13,986.46,4,368.22
2026-04-28,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,153.86,4513,71,1.69,6,480.85,2,183.27
2026-04-28,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-203,Video | Reviews Social Proof | All Products,135.29,3489,57,1.66,3,222.13,1,87.15
2026-04-28,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-101,TEST | Hook: 'Doctor said WHAT',97.34,2706,22,1.75,1,96.7,1,96.7
2026-04-28,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-102,TEST | Static: Label Closeup,116.78,3305,22,1.73,2,187.52,2,187.52
2026-04-28,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-103,TEST | UGC: Gym Bag Tour,117.47,2951,22,1.98,1,91.08,1,91.08
2026-04-28,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-104,TEST | Video: 60s Explainer,109.77,3768,52,1.8,1,93.13,1,93.13
2026-04-29,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,682.06,17804,211,1.7,11,889.57,10,827.61
2026-04-29,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,568.39,16617,178,1.79,6,542.72,5,469.2
2026-04-29,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,841.99,21934,270,1.9,22,2125.22,20,1976.13
2026-04-29,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,621.03,19093,250,2.09,12,1087.9,11,1018.65
2026-04-29,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,327.9,9309,79,1.8,3,288.83,3,288.83
2026-04-29,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,348.02,11618,123,1.67,3,285.35,3,285.35
2026-04-29,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,181.96,4717,33,1.98,2,172.06,2,172.06
2026-04-29,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,227.35,7965,70,1.73,2,184.58,2,184.58
2026-04-29,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,243.9,6560,137,1.75,10,739.67,3,289.39
2026-04-29,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,148.2,4997,101,1.64,3,206.07,1,81.18
2026-04-29,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-203,Video | Reviews Social Proof | All Products,114.2,3808,63,1.87,3,228.44,1,96.96
2026-04-29,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-101,TEST | Hook: 'Doctor said WHAT',111.0,3378,34,1.79,2,199.21,2,199.21
2026-04-29,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-102,TEST | Static: Label Closeup,125.97,4313,33,2.05,2,177.21,2,177.21
