destination_url,platform,ad_ref
https://adaptnaturals.com/products/bio-avail-multi?utm_source=facebook&utm_medium=paid_social&utm_campaign=scaling_asc_core&utm_content=AD-011,Meta,AD-011
https://adaptnaturals.com/products/bio-avail-multi?utm_source=facebook&utm_medium=paid_social&utm_campaign=scaling_asc_core&utm_content=AD-016,Meta,AD-016
https://adaptnaturals.com/products/bio-avail-multi?utm_source=google&utm_medium=cpc&utm_campaign=nonbrand_search_supplements,Google,Non-Brand Search
https://adaptnaturals.com/products/bio-avail-multi?utm_source=Facebook&utm_medium=Paid_Social&utm_campaign=Scaling_ASC_Core&utm_content=AD-014,Meta,AD-014
https://adaptnaturals.com/products/bio-avail-multi?utm_source=FB&utm_medium=paidsocial&utm_campaign=scaling_asc_core&utm_content=AD-014,Meta,AD-014
https://adaptnaturals.com/products/bio-avail-multi?utm_source=facebook&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_content={{ad.name}},Meta,AD-019
https://adaptnaturals.com/products/bio-avail-multi?utm_source=facebook&utm_medium=paid_social&utm_content=AD-202,Meta,AD-202
https://adaptnaturals.com/products/bio-avail-multi?utm_source=facebook&utm_medium=paid_social,Meta,AD-203
https://adaptnaturals.com/products/bio-avail-multi?utm_source=google&utm_medium=cpc&utm_campaign=core_products,Google,Shopping
https://adaptnaturals.com/products/bio-avail-multi?utm_source=facebook&utm_medium=paid_social&utm_campaign=core_products&utm_content=AD-012,Meta,AD-012
https://adaptnaturals.com/products/bio-avail-multi?utm_source=meta&utm_medium=paid_social&utm_campaign=testing_weekly&utm_content=AD-107,Meta,AD-107
https://adaptnaturals.com/products/bio-avail-multi?utm_source=facebook&utm_medium=paid-social&utm_campaign=testing_weekly&utm_content=AD-109,Meta,AD-109
